,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
NBFCIN000COML267,Q1,FY20,Commercial,NBFC,Commercial Loan,155786640,82475280,35,81711620,N,M
NBFCIN000COML629,Q1,FY19,Commercial,NBFC,Commercial Loan,11236000,2703000,60,5618000,Y,M
NBFCIN000COML127,Q1,FY20,Commercial,NBFC,Commercial Loan,14914440,5215180,59,7676550,N,F
NBFCIN000COML461,Q1,FY20,Commercial,NBFC,Commercial Loan,5136720,2719440,31,1964040,N,F
PVT00COM187,Q1,FY20,Commercial,PVT Bank,Commercial Loan,8313900,4195800,37,6410250,N,M
PVT00COM24,Q1,FY21,Commercial,PVT Bank,Commercial Loan,23800150,4760030,52,11572550,Y,M
PSUIN300133MICRO0133812,Q1,FY19,Commercial,PSU Bank,Commercial Loan,13429140,4603070,48,5035927,Y,F
PSUIN300310MICRO0120344,Q1,FY21,Commercial,PSU Bank,Commercial Loan,10215450,3470010,36,5010435,N,M
PSUIN300103MICRO0128779,Q1,FY19,Commercial,PSU Bank,Commercial Loan,11577000,6242500,47,4639312,Y,M
NBFCIN0001173,Q1,FY19,Microfinance,NBFC,Microfinance Loan,7070,2038,37,518522,N,M
NBFCIN0001706,Q1,FY21,Microfinance,NBFC,Microfinance Loan,7490,2050,32,908406,N,F
NBFCIN0001153C,Q1,FY20,Microfinance,NBFC,Microfinance Loan,13650,3650,48,545380,N,M
NBFCIN000636,Q1,FY19,Microfinance,NBFC,Microfinance Loan,14700,5243,59,952942,N,M
NBFCIN0002049,Q1,FY19,Microfinance,NBFC,Microfinance Loan,15600,4524,46,358752,Y,F
NBFCIN000312,Q1,FY21,Microfinance,NBFC,Microfinance Loan,15150,5068,31,835074,Y,M
NBFCIN0001970,Q1,FY19,Microfinance,NBFC,Microfinance Loan,16800,5656,31,873044,Y,F
NBFCIN0001223,Q1,FY21,Microfinance,NBFC,Microfinance Loan,25200,8323,48,604590,N,F
NBFCIN000316,Q1,FY19,Microfinance,NBFC,Microfinance Loan,25750,9100,56,145530,N,M
NBFCIN000210I,Q1,FY19,Microfinance,NBFC,Microfinance Loan,26520,8624,38,807738,Y,F
NBFCIN000548,Q1,FY19,Microfinance,NBFC,Microfinance Loan,28600,6890,43,882682,N,M
NBFCIN000642,Q1,FY21,Microfinance,NBFC,Microfinance Loan,29700,6952,60,1023433,N,M
